fold_index,held_out_query_id,feature_name,standardized_coefficient
0,INT2-Q-STUDYGLOW,evidence_count,-0.013242369439433911
0,INT2-Q-STUDYGLOW,evidence_fraction,0.5134815758346476
0,INT2-Q-STUDYGLOW,sku_scoped_evidence_fraction,0.8747213048622134
0,INT2-Q-STUDYGLOW,merchant_scope_evidence_present,-0.19424560273248406
0,INT2-Q-STUDYGLOW,product_scope_evidence_present,1.0734890983338827
0,INT2-Q-STUDYGLOW,max_score,0.962683123762172
0,INT2-Q-STUDYGLOW,mean_score,0.8604993592651642
0,INT2-Q-STUDYGLOW,score_margin,0.5077295245851304
0,INT2-Q-STUDYGLOW,source_kind_count,-0.13543700487320895
0,INT2-Q-STUDYGLOW,source_kind_diversity,-0.14557532564193337
0,INT2-Q-STUDYGLOW,constraint_count,0.08344512291369421
0,INT2-Q-STUDYGLOW,constraint_family_purpose,0.08344512291369416
0,INT2-Q-STUDYGLOW,constraint_family_exclusion,0.0
0,INT2-Q-STUDYGLOW,evidence_text_kchars_mean,0.5510302623817552
1,INT2-Q-NOTEBOOK,evidence_count,-0.019668183115293777
1,INT2-Q-NOTEBOOK,evidence_fraction,0.566357922720706
1,INT2-Q-NOTEBOOK,sku_scoped_evidence_fraction,0.9903639670372356
1,INT2-Q-NOTEBOOK,merchant_scope_evidence_present,-0.21224630826648383
1,INT2-Q-NOTEBOOK,product_scope_evidence_present,1.2312375390526171
1,INT2-Q-NOTEBOOK,max_score,0.8726730358724573
1,INT2-Q-NOTEBOOK,mean_score,0.7917181274094348
1,INT2-Q-NOTEBOOK,score_margin,0.38159960718972047
1,INT2-Q-NOTEBOOK,source_kind_count,-0.15509174434876333
1,INT2-Q-NOTEBOOK,source_kind_diversity,-0.16603874487534237
1,INT2-Q-NOTEBOOK,constraint_count,0.0499453765726485
1,INT2-Q-NOTEBOOK,constraint_family_purpose,0.04994537657264846
1,INT2-Q-NOTEBOOK,constraint_family_exclusion,0.0
1,INT2-Q-NOTEBOOK,evidence_text_kchars_mean,0.4773428590607593
2,INT2-Q-STUDY-CLUB,evidence_count,0.010711143070747145
2,INT2-Q-STUDY-CLUB,evidence_fraction,0.5940902011891734
2,INT2-Q-STUDY-CLUB,sku_scoped_evidence_fraction,0.9768744486325288
2,INT2-Q-STUDY-CLUB,merchant_scope_evidence_present,-0.21645616092782924
2,INT2-Q-STUDY-CLUB,product_scope_evidence_present,1.24517138106295
2,INT2-Q-STUDY-CLUB,max_score,0.8186010790687218
2,INT2-Q-STUDY-CLUB,mean_score,0.7147593761612568
2,INT2-Q-STUDY-CLUB,score_margin,0.3247509167810088
2,INT2-Q-STUDY-CLUB,source_kind_count,-0.2335532043135042
2,INT2-Q-STUDY-CLUB,source_kind_diversity,-0.40503308984214476
2,INT2-Q-STUDY-CLUB,constraint_count,0.0
2,INT2-Q-STUDY-CLUB,constraint_family_purpose,0.0
2,INT2-Q-STUDY-CLUB,constraint_family_exclusion,0.0
2,INT2-Q-STUDY-CLUB,evidence_text_kchars_mean,0.5569761421717694
3,INT2-Q-MARKET-EDGE,evidence_count,-0.0018763882778421582
3,INT2-Q-MARKET-EDGE,evidence_fraction,0.6081039944399836
3,INT2-Q-MARKET-EDGE,sku_scoped_evidence_fraction,1.0220166248100042
3,INT2-Q-MARKET-EDGE,merchant_scope_evidence_present,-0.24608772934572617
3,INT2-Q-MARKET-EDGE,product_scope_evidence_present,1.3024922359117481
3,INT2-Q-MARKET-EDGE,max_score,0.9024518304446364
3,INT2-Q-MARKET-EDGE,mean_score,0.8080585432363169
3,INT2-Q-MARKET-EDGE,score_margin,0.3975159365115701
3,INT2-Q-MARKET-EDGE,source_kind_count,-0.2037182061085534
3,INT2-Q-MARKET-EDGE,source_kind_diversity,-0.25832061593047045
3,INT2-Q-MARKET-EDGE,constraint_count,0.043984888136121184
3,INT2-Q-MARKET-EDGE,constraint_family_purpose,0.043984888136121184
3,INT2-Q-MARKET-EDGE,constraint_family_exclusion,0.0
3,INT2-Q-MARKET-EDGE,evidence_text_kchars_mean,0.4996718729173056
4,INT2-Q-TAX-GUIDE,evidence_count,-0.005796366933798608
4,INT2-Q-TAX-GUIDE,evidence_fraction,0.620798833506971
4,INT2-Q-TAX-GUIDE,sku_scoped_evidence_fraction,1.014130221066897
4,INT2-Q-TAX-GUIDE,merchant_scope_evidence_present,-0.2619615345885957
4,INT2-Q-TAX-GUIDE,product_scope_evidence_present,1.3288451509092079
4,INT2-Q-TAX-GUIDE,max_score,0.8839162964363553
4,INT2-Q-TAX-GUIDE,mean_score,0.7762205200978277
4,INT2-Q-TAX-GUIDE,score_margin,0.3930349454080868
4,INT2-Q-TAX-GUIDE,source_kind_count,-0.20324641724681639
4,INT2-Q-TAX-GUIDE,source_kind_diversity,-0.24900677458811526
4,INT2-Q-TAX-GUIDE,constraint_count,0.055029052395852436
4,INT2-Q-TAX-GUIDE,constraint_family_purpose,0.055029052395852436
4,INT2-Q-TAX-GUIDE,constraint_family_exclusion,0.0
4,INT2-Q-TAX-GUIDE,evidence_text_kchars_mean,0.5136589196210475
5,INT2-Q-FLEXI,evidence_count,0.22271880269876915
5,INT2-Q-FLEXI,evidence_fraction,0.3303579505663297
5,INT2-Q-FLEXI,sku_scoped_evidence_fraction,0.7033999036722908
5,INT2-Q-FLEXI,merchant_scope_evidence_present,-0.3144927839135177
5,INT2-Q-FLEXI,product_scope_evidence_present,1.4548792205100534
5,INT2-Q-FLEXI,max_score,0.9695043708233116
5,INT2-Q-FLEXI,mean_score,0.8003125587256901
5,INT2-Q-FLEXI,score_margin,0.5855608008287099
5,INT2-Q-FLEXI,source_kind_count,0.07481706894526033
5,INT2-Q-FLEXI,source_kind_diversity,-0.27531841331226276
5,INT2-Q-FLEXI,constraint_count,-0.021641791920683183
5,INT2-Q-FLEXI,constraint_family_purpose,-0.021641791920683183
5,INT2-Q-FLEXI,constraint_family_exclusion,0.0
5,INT2-Q-FLEXI,evidence_text_kchars_mean,0.05511595411075238
